;is_bruch;is_hollow;has_blume;has_rost_head;has_rost_body;is_bended;is_violet;very_thick;thick;medium_thick;thin;very_thin;unclassified;auto_violet;auto_blooming;auto_length;auto_rust_head;auto_rust_body;auto_width;auto_bended;Class
0;;0;0;0;0;0;0;;;;;;;1.0;;240.0;;;24.0;2.0;1A_Anna
1;;0;0;0;1;0;0;;;;;;;8.0;;240.0;;;26.0;15.0;1A_Anna
2;;0;0;0;1;0;0;;;;;;;5.0;;240.0;;;24.0;12.0;1A_Anna
3;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;26.0;22.0;1A_Anna
4;;0;0;0;0;0;0;;;;;;;8.0;;239.0;;;26.0;8.0;1A_Anna
5;;0;0;0;0;0;0;;;;;;;1.0;;247.0;;;22.0;396.0;1A_Anna
6;;0;0;0;0;0;0;;;;;;;4.0;;243.0;;;24.0;91.0;1A_Anna
7;;0;0;0;0;0;0;;;;;;;0.0;;241.0;;;23.0;25.0;1A_Anna
8;;0;0;0;0;0;0;;;;;;;1.0;;241.0;;;24.0;9.0;1A_Anna
9;;0;0;0;0;0;0;;;;;;;0.0;;237.0;;;24.0;18.0;1A_Anna
10;;0;0;1;0;0;0;;;;;;;2.0;;241.0;;;24.0;9.0;1A_Anna
11;;0;0;0;0;0;0;;;;;;;1.0;;243.0;;;23.0;116.0;1A_Anna
12;;0;0;0;0;0;0;;;;;;;1.0;;242.0;;;22.0;11.0;1A_Anna
13;;0;0;0;0;0;0;;;;;;;0.0;;240.0;;;25.0;19.0;1A_Anna
14;;0;0;0;0;0;0;;;;;;;4.0;;240.0;;;23.0;22.0;1A_Anna
15;;0;0;0;0;0;0;;;;;;;2.0;;240.0;;;22.0;25.0;1A_Anna
16;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;25.0;7.0;1A_Anna
17;;0;0;0;0;0;0;;;;;;;5.0;;240.0;;;24.0;26.0;1A_Anna
18;;0;0;0;0;0;0;;;;;;;3.0;;241.0;;;23.0;12.0;1A_Anna
19;;0;0;0;0;0;0;;;;;;;0.0;;242.0;;;24.0;22.0;1A_Anna
20;;0;0;0;1;0;0;;;;;;;14.0;;241.0;;;23.0;19.0;1A_Anna
21;;0;0;0;0;0;0;;;;;;;3.0;;239.0;;;23.0;23.0;1A_Anna
22;;0;0;0;0;0;0;;;;;;;3.0;;238.0;;;23.0;13.0;1A_Anna
23;;0;0;0;1;0;0;;;;;;;55.0;;235.0;;;27.0;12.0;1A_Anna
24;;0;0;0;1;0;0;;;;;;;3.0;;239.0;;;26.0;10.0;1A_Anna
25;;0;0;0;0;0;0;;;;;;;3.0;;237.0;;;26.0;7.0;1A_Anna
26;;0;0;0;0;0;0;;;;;;;1.0;;238.0;;;23.0;20.0;1A_Anna
27;;0;0;0;0;0;0;;;;;;;1.0;;239.0;;;24.0;16.0;1A_Anna
28;;0;0;1;0;0;0;;;;;;;2.0;;238.0;;;25.0;15.0;1A_Anna
29;;0;0;0;0;0;0;;;;;;;1.0;;242.0;;;23.0;557.0;1A_Anna
30;;0;0;1;0;0;0;;;;;;;0.0;;240.0;;;23.0;8.0;1A_Anna
31;;1;0;0;0;0;0;;;;;;;0.0;;236.0;;;23.0;13.0;1A_Anna
32;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;22.0;3.0;1A_Anna
33;;0;0;0;1;0;0;;;;;;;1.0;;238.0;;;24.0;37.0;1A_Anna
34;;0;0;1;0;0;0;;;;;;;1.0;;240.0;;;23.0;9.0;1A_Anna
35;;0;0;0;1;0;0;;;;;;;8.0;;239.0;;;22.0;8.0;1A_Anna
36;;0;0;0;0;0;0;;;;;;;1.0;;241.0;;;24.0;8.0;1A_Anna
37;;0;0;0;0;0;0;;;;;;;21.0;;240.0;;;23.0;16.0;1A_Anna
38;;0;0;0;0;0;0;;;;;;;0.0;;238.0;;;15.0;34.0;1A_Anna
39;;0;0;1;0;0;0;;;;;;;9.0;;237.0;;;21.0;42.0;1A_Anna
40;;0;0;0;0;0;0;;;;;;;1.0;;258.0;;;20.0;3.0;1A_Anna
41;;0;0;0;0;0;0;;;;;;;1.0;;238.0;;;23.0;48.0;1A_Anna
42;;0;0;0;0;0;0;;;;;;;1.0;;239.0;;;20.0;34.0;1A_Anna
43;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;22.0;14.0;1A_Anna
44;;0;0;0;0;0;0;;;;;;;0.0;;240.0;;;30.0;441.0;1A_Anna
45;;0;0;0;0;0;0;;;;;;;0.0;;238.0;;;24.0;60.0;1A_Anna
46;;0;0;0;0;0;0;;;;;;;1.0;;239.0;;;20.0;8.0;1A_Anna
47;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;21.0;404.0;1A_Anna
48;;0;0;0;0;0;0;;;;;;;5.0;;241.0;;;23.0;40.0;1A_Anna
49;;0;0;0;0;0;0;;;;;;;0.0;;238.0;;;21.0;513.0;1A_Anna
50;;0;0;1;0;0;0;;;;;;;4.0;;240.0;;;21.0;54.0;1A_Anna
51;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;21.0;88.0;1A_Anna
52;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;22.0;18.0;1A_Anna
53;;0;0;0;0;0;0;;;;;;;0.0;;238.0;;;24.0;24.0;1A_Anna
54;;0;0;0;0;0;0;;;;;;;1.0;;237.0;;;18.0;19.0;1A_Anna
55;;0;0;0;0;0;0;;;;;;;0.0;;240.0;;;24.0;23.0;1A_Anna
56;;0;0;0;0;0;0;;;;;;;0.0;;235.0;;;20.0;10.0;1A_Anna
57;;0;0;0;0;0;0;;;;;;;2.0;;239.0;;;24.0;43.0;1A_Anna
58;;0;0;0;0;0;0;;;;;;;2.0;;241.0;;;21.0;15.0;1A_Anna
59;;0;0;0;0;0;0;;;;;;;1.0;;237.0;;;20.0;803.0;1A_Anna
60;;0;0;0;0;0;0;;;;;;;0.0;;239.0;;;22.0;17.0;1A_Anna
61;;0;0;0;0;0;0;;;;;;;0.0;;238.0;;;23.0;42.0;1A_Anna
62;;0;0;0;0;0;0;;;;;;;0.0;;238.0;;;20.0;21.0;1A_Anna
63;;0;0;0;0;0;0;;;;;;;0.0;;240.0;;;18.0;9.0;1A_Anna
64;;0;0;0;0;0;0;;;;;;;0.0;;237.0;;;18.0;12.0;1A_Anna
65;;0;0;0;0;0;0;;;;;;;0.0;;237.0;;;22.0;9.0;1A_Anna
66;;0;0;0;0;0;0;;;;;;;1.0;;238.0;;;23.0;18.0;1A_Anna
67;;0;0;0;0;0;0;;;;;;;3.0;;242.0;;;22.0;25.0;1A_Anna
68;;0;0;0;0;0;0;;;;;;;0.0;;237.0;;;22.0;5.0;1A_Anna
69;;0;0;0;0;0;0;;;;;;;2.0;;238.0;;;21.0;4.0;1A_Anna
