;is_bruch;is_hollow;has_blume;has_rost_head;has_rost_body;is_bended;is_violet;very_thick;thick;medium_thick;thin;very_thin;unclassified;auto_violet;auto_blooming;auto_length;auto_rust_head;auto_rust_body;auto_width;auto_bended
0;;1.0;1.0;1.0;0.0;1;1;;;;;;;0.0;;237.0;;;13.0;29.0
1;;1.0;1.0;1.0;1.0;0;1;;;;;;;0.0;;237.0;;;14.0;83.0
2;;;;;;0;0;;;;;;;0.0;;236.0;;;13.0;6.0
3;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;224.0;;;13.0;7.0
4;;0.0;0.0;0.0;0.0;1;0;;;;;;;0.0;;250.0;;;15.0;26.0
5;;0.0;0.0;0.0;1.0;0;0;;;;;;;3.0;;237.0;;;13.0;26.0
6;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;236.0;;;16.0;28.0
7;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;237.0;;;16.0;83.0
8;;0.0;0.0;0.0;0.0;0;0;;;;;;;1.0;;238.0;;;16.0;20.0
9;;0.0;0.0;0.0;0.0;1;0;;;;;;;1.0;;237.0;;;15.0;49.0
10;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;235.0;;;14.0;25.0
11;;0.0;0.0;0.0;0.0;0;0;;;;;;;1.0;;259.0;;;16.0;18.0
12;;0.0;0.0;0.0;0.0;0;0;;;;;;;3.0;;237.0;;;14.0;616.0
13;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;238.0;;;14.0;9.0
14;;0.0;0.0;0.0;0.0;1;0;;;;;;;0.0;;239.0;;;16.0;433.0
15;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;237.0;;;14.0;75.0
16;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;237.0;;;14.0;30.0
17;;0.0;0.0;0.0;1.0;0;0;;;;;;;1.0;;236.0;;;16.0;29.0
18;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;238.0;;;13.0;21.0
19;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;234.0;;;16.0;17.0
20;;0.0;0.0;0.0;0.0;1;0;;;;;;;0.0;;237.0;;;14.0;25.0
21;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;237.0;;;16.0;18.0
22;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;239.0;;;13.0;11.0
23;;0.0;0.0;0.0;0.0;1;0;;;;;;;0.0;;236.0;;;14.0;11.0
24;;0.0;0.0;0.0;0.0;1;0;;;;;;;0.0;;239.0;;;17.0;441.0
25;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;233.0;;;27.0;1371.0
26;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;237.0;;;14.0;27.0
27;;0.0;0.0;0.0;0.0;1;0;;;;;;;0.0;;238.0;;;15.0;98.0
28;;0.0;0.0;0.0;0.0;1;0;;;;;;;0.0;;237.0;;;15.0;32.0
29;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;232.0;;;13.0;23.0
30;;0.0;0.0;0.0;0.0;0;0;;;;;;;1.0;;238.0;;;16.0;6.0
31;;0.0;0.0;0.0;0.0;0;0;;;;;;;3.0;;240.0;;;14.0;816.0
32;;0.0;0.0;0.0;1.0;0;0;;;;;;;2.0;;239.0;;;18.0;1344.0
33;;0.0;0.0;0.0;0.0;1;0;;;;;;;0.0;;238.0;;;14.0;33.0
34;;0.0;0.0;0.0;0.0;1;0;;;;;;;0.0;;237.0;;;15.0;34.0
35;;0.0;0.0;0.0;0.0;1;0;;;;;;;0.0;;245.0;;;15.0;68.0
36;;0.0;0.0;0.0;0.0;0;0;;;;;;;1.0;;238.0;;;12.0;11.0
37;;0.0;0.0;0.0;0.0;0;0;;;;;;;1.0;;240.0;;;14.0;7.0
38;;0.0;0.0;0.0;0.0;1;0;;;;;;;3.0;;241.0;;;14.0;649.0
39;;0.0;0.0;0.0;1.0;0;0;;;;;;;9.0;;238.0;;;14.0;51.0
40;;0.0;0.0;0.0;1.0;0;0;;;;;;;0.0;;236.0;;;15.0;18.0
41;;0.0;0.0;0.0;1.0;0;0;;;;;;;0.0;;264.0;;;15.0;17.0
42;;0.0;0.0;0.0;1.0;0;0;;;;;;;0.0;;238.0;;;15.0;8.0
43;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;240.0;;;14.0;28.0
44;;0.0;0.0;0.0;0.0;1;0;;;;;;;0.0;;238.0;;;14.0;17.0
45;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;238.0;;;13.0;6.0
46;;0.0;0.0;0.0;0.0;0;0;;;;;;;1.0;;237.0;;;13.0;10.0
47;;0.0;0.0;0.0;0.0;0;0;;;;;;;1.0;;233.0;;;15.0;672.0
48;;0.0;0.0;0.0;0.0;1;0;;;;;;;0.0;;237.0;;;15.0;21.0
49;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;238.0;;;13.0;32.0
50;;0.0;0.0;0.0;0.0;1;0;;;;;;;0.0;;238.0;;;16.0;26.0
51;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;236.0;;;16.0;8.0
52;;0.0;0.0;0.0;0.0;0;0;;;;;;;1.0;;237.0;;;16.0;11.0
53;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;257.0;;;16.0;353.0
54;;0.0;0.0;0.0;0.0;0;0;;;;;;;1.0;;238.0;;;14.0;6.0
55;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;237.0;;;15.0;8.0
56;;0.0;0.0;0.0;1.0;0;0;;;;;;;1.0;;230.0;;;14.0;20.0
57;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;236.0;;;12.0;24.0
58;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;243.0;;;14.0;19.0
59;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;240.0;;;15.0;9.0
60;;0.0;0.0;0.0;0.0;0;0;;;;;;;1.0;;241.0;;;15.0;19.0
61;;0.0;0.0;0.0;1.0;0;0;;;;;;;1.0;;235.0;;;17.0;25.0
62;;0.0;0.0;0.0;1.0;1;0;;;;;;;0.0;;240.0;;;15.0;19.0
63;;0.0;0.0;0.0;0.0;0;0;;;;;;;1.0;;239.0;;;14.0;650.0
64;;0.0;0.0;0.0;0.0;0;0;;;;;;;1.0;;238.0;;;17.0;19.0
65;;0.0;0.0;0.0;0.0;0;0;;;;;;;1.0;;238.0;;;15.0;28.0
66;;0.0;1.0;0.0;0.0;0;0;;;;;;;0.0;;240.0;;;16.0;40.0
67;;0.0;0.0;0.0;1.0;0;0;;;;;;;2.0;;237.0;;;17.0;16.0
68;;0.0;0.0;0.0;0.0;1;0;;;;;;;0.0;;240.0;;;15.0;395.0
69;;0.0;0.0;0.0;0.0;1;0;;;;;;;0.0;;240.0;;;14.0;70.0
70;;0.0;0.0;0.0;0.0;0;0;;;;;;;1.0;;238.0;;;15.0;7.0
71;;0.0;0.0;0.0;0.0;0;0;;;;;;;1.0;;239.0;;;15.0;4.0
72;;0.0;0.0;0.0;1.0;1;0;;;;;;;5.0;;240.0;;;15.0;65.0
73;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;;;;13.0;13.0
74;;0.0;0.0;0.0;0.0;0;0;;;;;;;44.0;;250.0;;;52.0;11.0
75;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;240.0;;;15.0;27.0
76;;0.0;0.0;0.0;0.0;1;0;;;;;;;4.0;;244.0;;;14.0;12.0
77;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;239.0;;;17.0;18.0
78;;0.0;0.0;0.0;0.0;0;0;;;;;;;2.0;;238.0;;;17.0;33.0
79;;0.0;0.0;0.0;0.0;1;0;;;;;;;1.0;;262.0;;;15.0;48.0
80;;0.0;0.0;0.0;0.0;1;0;;;;;;;0.0;;239.0;;;14.0;100.0
81;;0.0;0.0;1.0;0.0;0;0;;;;;;;0.0;;238.0;;;16.0;15.0
82;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;238.0;;;13.0;7.0
83;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;238.0;;;14.0;11.0
84;;0.0;0.0;0.0;0.0;0;0;;;;;;;1.0;;239.0;;;15.0;13.0
85;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;238.0;;;15.0;11.0
86;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;238.0;;;15.0;6.0
87;;0.0;0.0;0.0;0.0;0;0;;;;;;;1.0;;241.0;;;13.0;24.0
88;;0.0;0.0;0.0;0.0;0;0;;;;;;;2.0;;241.0;;;14.0;45.0
89;;0.0;0.0;0.0;0.0;0;0;;;;;;;1.0;;237.0;;;15.0;46.0
90;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;240.0;;;13.0;27.0
91;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;236.0;;;13.0;14.0
92;;0.0;0.0;0.0;0.0;0;0;;;;;;;1.0;;237.0;;;15.0;4.0
93;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;240.0;;;15.0;19.0
94;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;239.0;;;14.0;21.0
95;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;235.0;;;15.0;7.0
96;;0.0;0.0;0.0;0.0;0;0;;;;;;;1.0;;238.0;;;15.0;25.0
97;;0.0;0.0;0.0;1.0;0;0;;;;;;;4.0;;238.0;;;16.0;38.0
98;;0.0;0.0;0.0;0.0;0;0;;;;;;;0.0;;239.0;;;17.0;65.0
99;;0.0;0.0;0.0;0.0;1;0;;;;;;;0.0;;240.0;;;15.0;16.
